x12,x8,x14,x6,xid,x1,x0,x2,x7,x13,x11,x5,x3,x4,x9
0,1,1,1,0,0,0,0,1,1,1,1,0,1,1
0,1,0,1,0,0,1,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,1,0,1,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,1,0,1,1,0,1,1,1,0,1,1,1,0,1
1,0,1,0,1,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,0,1,0,1,1,0,0,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,1,0,0,1,0,0,1,1,1,0,1,1,1
1,0,1,0,1,0,0,0,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,1,0,1,0,1,1,1,1,0,1,1,1,0,1
0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,1,1,1,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,0,1,1,1,1,1
1,0,1,0,1,0,0,0,1,1,1,0,1,1,1
0,1,1,1,0,0,0,0,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,1,1,0,0,0,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
0,1,1,0,1,1,0,0,1,1,0,1,1,1,1
0,1,0,0,0,1,0,1,0,0,0,1,1,1,1
0,0,1,1,1,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
0,0,1,1,1,0,0,0,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
1,0,1,0,0,1,0,0,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
0,1,0,1,0,1,1,0,1,0,1,1,0,0,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
1,0,1,0,1,0,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,0,1,0,1,0,0,0,0,1,1,1,0,1,1
0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,0,0,0,0,1,0,0,1,1,1,1
0,1,0,1,0,0,1,1,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,1,0,0,1,1,1,1
0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,0,1,1,1,1
0,0,1,0,1,0,0,0,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,1,0,0,0,1,0,1,1,1,1,1
0,0,1,0,1,0,0,1,0,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
1,1,0,0,1,1,0,0,1,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
0,1,1,1,0,0,0,1,1,1,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,0,1,0,1,1,0,1,0,1,1,1,0,0,1
0,0,0,0,1,0,0,1,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
0,1,0,0,0,0,0,1,1,0,0,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,1,0,1,1,1,1,1
1,0,1,1,1,1,0,0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,1,0,1,1,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,1,0,0,0,0,1,1,0,0,1,1,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,1,1,1,1,1,0,1,1,1,1,0
0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
1,0,0,1,1,1,0,0,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
0,1,0,0,0,1,0,0,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
0,0,1,1,1,0,0,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,1,1,0,0,0,1,1,1,1,1
0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1
0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,0,0,0,1,0,1,1,1,1,1
0,0,0,0,0,1,0,1,1,0,0,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,0,1,1,0,0,0,1,1
0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,1,1,0,0,0,1,0,1,1,1,1,1
0,0,0,0,1,1,0,0,1,1,1,1,0,1,0
1,0,1,0,0,0,0,0,1,1,1,0,0,1,1
0,1,1,1,0,1,0,0,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,1,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
0,0,0,1,0,0,0,1,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
